trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
781060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,29460
1221100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,33240
2183060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,25860
1995100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,58560
3569090,28,4,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,44100
620020,28,1,UNIVERSITY ROW VIA SHERMAN,,0,11228,shp-28-63,1,1,Westbound,47700
2549020,28,1,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,56760
1627080,28,10,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,45900
1221060,28,2,UNIVERSITY ROW VIA SHERMAN,,0,11128,shp-28-63,1,1,Westbound,33240
2026130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,24240
2239100,28,7,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,51300
1748130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,62160
2239130,28,5,UNIVERSITY ROW VIA SHERMAN,,0,11328,shp-28-63,1,1,Westbound,51300
